name,state,adm_rate,cost,earnings,pop
University of Oregon,OR,0.749,15487,41700,20252
University of Pittsburgh-Bradford,PA,0.6542,16811,48800,1466
University of Pittsburgh-Greensburg,PA,0.7452,16954,48800,1578
University of Pittsburgh-Johnstown,PA,0.8018,19420,48800,2864
University of Pittsburgh-Pittsburgh Campus,PA,0.5312,28000,48800,18474
University of Pittsburgh-Titusville,PA,0.7707,17217,48800,367
University of Rhode Island,RI,0.7681,18382,47600,13205
University of Science and Arts of Oklahoma,OK,0.6755,6014,32000,845
University of South Alabama,AL,0.8335,14327,37300,11267
University of South Carolina-Aiken,SC,0.6546,13391,35800,3023
University of South Carolina-Beaufort,SC,0.5724,15395,32200,1790
University of South Carolina-Columbia,SC,0.652,17622,42200,24623
University of South Carolina-Lancaster,SC,0.6353,9149,42200,963
University of South Carolina-Salkehatchie,SC,0.5339,12021,25200,723
University of South Carolina-Sumter,SC,0.5759,9319,31200,729
University of South Carolina-Union,SC,0.7116,10155,31700,294
University of South Carolina-Upstate,SC,0.4682,14659,35800,5056
University of South Dakota,SD,0.8882,16129,39400,6331
University of South Florida-Main Campus,FL,0.5316,10027,41000,30279
University of South Florida-Sarasota-Manatee,FL,0.3393,6175,41000,1690
University of South Florida-St Petersburg,FL,0.3534,11595,41000,3829
University of Southern Indiana,IN,0.7134,13601,34900,8233
University of Southern Maine,ME,0.8395,17048,37200,5783
University of Southern Mississippi,MS,0.6674,12549,35900,11939
University of the Virgin Islands,VI,0.9707,11672,31800,1971
University of Toledo,OH,0.9473,14749,40000,15182
University of Utah,UT,0.8142,13874,49500,22804
University of Vermont,VT,0.7344,15838,43900,9958
University of Virginia-Main Campus,VA,0.29,17863,60100,15515
University of Washington-Bothell Campus,WA,0.7915,11505,53700,4378
University of Washington-Seattle Campus,WA,0.5521,13566,53700,29468
University of Washington-Tacoma Campus,WA,0.8452,10087,53700,3788
University of West Alabama,AL,0.7199,13092,33900,1916
University of West Georgia,GA,0.4861,14596,37100,9982
University of Wisconsin Colleges,WI,0.9976,9186,33400,11530
University of Wisconsin-Eau Claire,WI,0.8369,14654,42700,9987
University of Wisconsin-Green Bay,WI,0.8735,14042,38000,5674
University of Wisconsin-La Crosse,WI,0.7629,15169,44700,9492
University of Wisconsin-Madison,WI,0.5694,18397,51600,29302
University of Wisconsin-Milwaukee,WI,0.8955,16942,41900,21577
University of Wisconsin-Oshkosh,WI,0.8034,14774,40200,10337
University of Wisconsin-Parkside,WI,0.8602,11277,36600,4274
University of Wisconsin-Platteville,WI,0.944,14086,44500,7888
University of Wisconsin-River Falls,WI,0.8954,13756,40200,5381
University of Wisconsin-Stevens Point,WI,0.8941,13566,39000,8880
University of Wisconsin-Stout,WI,0.908,15094,42700,8094
University of Wisconsin-Superior,WI,0.8857,12027,35000,2353
University of Wisconsin-Whitewater,WI,0.8179,13815,41400,10533
University of Wyoming,WY,0.9766,11603,46100,9910
Utah State University,UT,0.9783,11814,42200,21087
Valdosta State University,GA,0.5414,14206,36800,9235
Valley City State University,ND,0.9027,11711,37900,952
Vermont Technical College,VT,0.8319,18939,43600,1336
Virginia Commonwealth University,VA,0.7535,20723,41400,22280
Virginia Military Institute,VA,0.444,17296,59200,1700
Virginia Polytechnic Institute and State University,VA,0.7263,19691,59000,24191
Virginia State University,VA,0.8006,14337,33800,4481
Washburn Institute of Technology,KS,0.4707,9570,38400,1217
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,NY,0.9,12693,30800,30
Washington State University,WA,0.8208,16864,47500,23585
Wayne State University,MI,0.7733,12476,39400,17242
West Chester University of Pennsylvania,PA,0.5348,21703,46100,13610
West Liberty University,WV,0.7236,12100,33500,2264
West Texas A & M University,TX,0.6742,12028,39800,7121
West Virginia State University,WV,0.4144,7176,29300,2237
West Virginia University,WV,0.8579,10305,43400,21945
West Virginia University Institute of Technology,WV,0.6192,7947,43400,1115
Western Area Career & Technology Center,PA,0.7105,9251,37900,76
Western Carolina University,NC,0.4311,13395,35800,8603
Western Connecticut State University,CT,0.4003,17269,43400,5206
Western Illinois University,IL,0.6964,17988,41100,9645
Western Kentucky University,KY,0.9332,11112,33800,15388
Western Michigan University,MI,0.8406,15903,42700,18450
Western Oregon University,OR,0.8874,16759,38700,4923
Western State Colorado University,CO,0.9741,14352,35900,1936
Western Washington University,WA,0.8457,16551,43600,14054
Westfield State University,MA,0.7456,16861,42900,5429
Wichita State University,KS,0.9553,11939,39300,11297
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA,0.5889,16672,36400,116
William Paterson University of New Jersey,NJ,0.7458,15142,43200,9508
Winona State University,MN,0.6304,17620,42200,7944
Winston-Salem State University,NC,0.6016,8200,32300,4743
Winthrop University,SC,0.7118,16138,36200,4653
Worcester State University,MA,0.613,16429,44800,5063
Youngstown State University,OH,0.833,10922,33600,10695
